逾期180天以上未还款本金,_OverDue_180_Princp
出生日期,_Birthday
税后保费,_Taxed_Prem
保障期间,_Coverage_Period
投保日期,_Apply_Date
承保日期,_Issue_Date
重疾绿通,_Illness_Exp
处理方式,_Manage
订单类型,Service_Type
年期类型,_Period
是否抽烟,_Smoking
合作方式,_Cooper_Meth
个单对接,_Per_Order
ECIF,_Ecif
英文姓,_Surname
英文名,_Forename
白名单,_Whitelist
百分比,_Pct
保险单,_Insr_Doc
保证金,_Margin
保证人,_Warrantor
报文头,_Mess_Head
备付金,_Provn
备用1,_Standby_1
备用2,_Standby_2
备用3,_Standby_3
背书人,_Endorser
被保行,_Guared_Bank
被保人,_Insured
被冲销,_Offseted
被冲账,_Reversed
被归并,_Merged
被替换,_Replaced
被转让,_Tfred
编译值,_Compiled
便利性,_Convenience
表决权,_Vote
并行期,_Parall
补差费,_Sender_Fee
不包含,_Exclude
不动产,_Real_Ast
不规则,_Irregular
参数表,_Par
参与者,_Ptcpt
操作员,_Operator
查询者,_Querist
产品包,_Prod_Pack
产品线,_Prod_Line
偿付行,_Reimb_Bank
车牌号,_Plate_Num
成交额,_Turnover
处理后,_Proced
传呼机,_Pager
创建人,_Creator
催收员,_Dunner
代理人,_Agent
代码表,_Cd
待偿期,_Pend_Repay_Period
担保人,_Guarantee
当事人,_Pty
登记簿,_Bk
登记人,_Register
地址行,_Addr_Line
第二条,_Sec
第三方,_Thirdpty
第一次,_Fst
第一条,_Fst
独立性,_Indepen
端到端,_end_to_end
对账单,_STMT
发票号,_Invoice_Num
发起方,_Initor
发起行,_Init_Bank
发起人,_Initor
发生额,_Amt
发生后,_Occurred
发送者,_Snder
反洗钱,_FXQ
非金融,_Nonfin
分户账,_Acct
分机号,_Ext
分类2,_Class2
分类账,_Jour_Ledger
分析员,_Analyst
服务器,_Server
付款行,_Payer_Bank
付款人,_Payer
付息人,_Int_Payer
负责人,_Res_Per
附加税,_Surtax
附着物,_Attach
复核人,_Chker
复核员,_Chker
跟踪号,_Trace_Num
更新人,_Update_Person
工作流,_Workflow
工作日,_Workday
关键字,_Keyword
关联人,_Assoc_Man
管理人,_Mgr
合同号,_Contract_Num
合作方,_Cooper
黑名单,_Blacklist
计算项,_Cal_Item
季度末,_EOQ
季节性,_Seasonal
季日均,_Qavg
减除后,_Reduced
减免期,_Derate_Period
阶段性,_Stage
接受者,_Acptor
节假日,_Holiday
结构性,_Stru
借款人,_Brwer
禁止性,_Forbid
经办人,_Operator
经常性,_Regular
经纪人,_Agent
经营性,_Oper
净现值,_Net_Pv
捐款人,_Donator
开户行,_Open_Bank
科技型,_Tech
可撤单,_Cancel
可撤消,_Withdrawable
可撤销,_Withdrawable
可兑换,_Xch
可更改,_Chg
可收回,_Retrable
可赎回,_Redeemable
可信度,_Reliability
可循环,_Circle
可押汇,_Rcvable
可预约,_Booking
可转让,_Tfrable
客户端,_Client
客户群,_Custs
控制人,_Contorller
扣减值,_Deduct_Val
跨币种,_Cross_Ccy
宽限期,_Grc_Period
联系人,_Lnkman
流动性,_Liquidity
流水号,_Seq_Num
录入人,_Operator
买断行,_Buyout_Bank
麦考利,_Macaulay
卖出行,_Sell_Bank
满意度,_Satisf
每百元,_Per_Hund
免息期,_Int_Free_Period
敏感性,_Sense
明细项,_Dtl_Item
明细账,_Sl
模式化,_Model
目的地,_Dest
纳税人,_Taxpayer
年日均,_Yavg
批处理,_Bat
批次号,_Bat_Num
签发人,_Issuer
签收人,_Rcver
前一张,_Prev
强实名,_StRe_Nm
权利人,_Obligee
权重法,_Weight
人民币,_Rmb
上一次,_Prev
申请行,_Appl_Bank
申请人,_Applnt
申请书,_Reqst
身份证,_Id_Card
审查人,_Chker
审核人,_Auditor
审批人,_Aprver
时间表,_Timetbl
市场化,_Mktzation
市场数,_Mkt_Num
收款人,_Payee
收益率,_Yld
手续费,_Fee
首付款,_Fst_Pay
首末期,_Init_Final
受理方,_Acptor
受票人,_Drawee
受托人,_Bailee
受益人,_Benef
顺序号,_Seq_Num
所得税,_Tax
所有权,_Ownership
所有者,_Owner
所有制,_Ownership
所在地,_Loc
填充项,_Filler
调查人,_Inqustor
通知行,_Adv_Bank
投保单,_Proposal
投保人,_Hldr
投资人,_Investor
投资者,_Investor
推广人,_Extent_Agent
推荐人,_Recmmdr
托管人,_Trustee
委员会,_Commi
未到期,_Unexpr
未复核,_Unchk
未加点,_NoHead
未扣款,_Undeduct
未确认,_Uncfm
未实现,_Unrealized
未完成,_Uncomplt
无期限,_Indefnt
系统内,_Inner
下拉值,_Display
下一次,_Next
现金流,_Cashflow
相关性,_Depen
销售人,_Saler
销售商,_Distrbtr
小数位,_Digit
信息项,_Info_item
修改后,_Updated
修饰符,_Modf
许可证,_Licence
序列号,_Seq_Num
选择权,_Option
学杂费,_Tuition
养老金,_pens
一年内,_Year
已超额,_Exceed_Lmt
已冲账,_Already_Reverse
已发生,_Occurred
已扣款,_Deducted
已落实,_Implem
已赔偿,_Cmpst
已赔付,_Cmpsted
已实现,_Realized
已使用,_Used
应扣款,_Deductible
应折旧,_Depreciable
用户组,_Usergroup
优先级,_Priority
有效期,_Valid_Period
预销售,_Presale
月缴额,_Mon_Pay_Amt
月日均,_Mavg
运营商,_Carrier
再贴现,_Rediscnt
再投资,_Reinvest
增值税,_Vat
债权人,_Obligee
债务人,_Debtor
折算额,_Commutation
证监会,_CSRC
支付宝,_Alipay
支付单,_Paydoc
支付易,_Pay_Easy
指标项,_Index_Item
滞纳金,_Late_Fee
注册地,_Login_Loc
专管员,_Spe_Stf
